Wall time,Step,Value
1544993144.4170187,19,4.831929683685303
1544993220.4760342,43,4.543654441833496
1544993230.256893,46,4.368805885314941
1544993262.065506,57,4.39997673034668
1544993309.3096201,72,4.402860164642334
1544993318.0249045,75,4.326410293579102
1544993382.2548919,95,4.213075160980225
1544993570.2070458,156,4.117947101593018
1544993579.7301617,159,4.093864440917969
1544993609.926382,168,4.164855480194092
1544993661.5885081,184,4.011870384216309
1544993807.3140614,230,3.86777925491333
1544993821.5089974,235,3.7982685565948486
1544993892.7154815,256,3.815950632095337
1544993907.6429777,261,3.735410690307617
1544993930.803842,268,3.872141122817993
1544993948.8946865,274,3.8181676864624023
1544994056.2693312,309,3.7519919872283936
1544994063.9863555,311,3.7509686946868896
1544994091.4253435,319,3.7629871368408203
1544994158.3943775,340,3.7650489807128906
1544994181.3987155,348,3.6015212535858154
1544994244.3807304,368,3.7476186752319336
1544994409.5202675,422,3.661987066268921
1544994412.4604023,423,3.5040485858917236
1544994469.4351614,443,3.6010937690734863
1544994478.4713311,446,3.5179526805877686
1544994527.9068537,461,3.361880302429199
1544994537.0132673,464,3.4027302265167236
1544994539.8010097,465,3.509434938430786
1544994570.9239488,475,3.4566550254821777
1544994629.8754966,494,3.4228641986846924
1544994705.5165708,515,3.287961483001709
1544994773.1759043,537,3.280609607696533
1544994862.1856606,564,3.1693739891052246
1544994914.3888423,580,3.2904272079467773
1544994937.976339,587,3.3256311416625977
1544994940.758206,588,3.2591676712036133
1544995044.110502,621,3.259755849838257
1544995089.1285174,635,3.284870147705078
1544995110.1522458,642,3.232988119125366
1544995113.3152244,643,3.231027603149414
1544995120.3766491,645,3.1322057247161865
1544995129.3393154,648,3.3024888038635254
1544995135.9722557,650,3.25471568107605
1544995172.5787742,662,3.157851219177246
1544995203.1340325,672,3.068311929702759
1544995338.477788,715,2.862025260925293
1544995366.3401868,723,3.023360252380371
1544995390.6030893,731,3.164823055267334
1544995464.5608702,753,3.1421737670898438
1544995479.11374,757,3.0691611766815186
1544995507.8667297,766,3.0327701568603516
1544995521.0183122,770,2.9543068408966064
1544995526.8012707,772,3.059230089187622
1544995573.079175,786,2.7964417934417725
1544995579.382527,788,2.8146955966949463
1544995595.1358368,793,2.917937994003296
1544995600.7056806,795,3.0042152404785156
1544995612.4504714,799,3.092559814453125
1544995625.8452532,803,3.141815185546875
1544995645.1311123,809,2.978130578994751
1544995648.4516757,810,2.878175735473633
1544995719.5492184,833,2.84220027923584
1544995731.8362803,837,2.8987667560577393
1544995834.8298004,870,2.9221410751342773
1544995876.8569653,883,2.7780613899230957
1544995954.0710073,908,2.830812931060791
1544995961.0242686,910,2.6057257652282715
1544995986.1256995,918,2.6521475315093994
1544996067.3290188,943,2.600783109664917
1544996077.3945715,946,2.7363698482513428
1544996104.5987043,955,2.7877001762390137
1544996130.7950253,963,2.7956724166870117
1544996158.7512925,972,2.8629908561706543
1544996161.2202015,973,2.806574583053589
1544996179.336341,979,2.6734580993652344
1544996183.031396,980,2.541236639022827
1544996198.4000914,985,2.529048442840576
1544996268.5656288,1003,2.801410436630249
1544996277.4360392,1006,2.724684000015259
1544996305.7802773,1015,2.671041250228882
1544996458.767332,1064,2.6495373249053955
1544996468.2263038,1067,2.6204187870025635
1544996486.3184416,1073,2.6347782611846924
1544996504.103043,1079,2.7457425594329834
1544996520.749876,1084,2.7977511882781982
1544996554.8734243,1094,2.712873935699463
1544996573.5884001,1100,2.6771774291992188
1544996588.7553875,1105,2.583146572113037
1544996620.455993,1115,2.689823627471924
1544996755.339192,1157,2.348630905151367
1544996773.1102285,1162,2.448028564453125
1544996776.2318351,1163,2.5056698322296143
1544996829.6579614,1181,2.2955877780914307
1544996868.8102894,1194,2.513955593109131
1544996911.8335838,1207,2.360934257507324
1544997033.7568018,1245,2.5138871669769287
1544997078.1958864,1259,2.5261902809143066
1544997087.5774367,1262,2.423266887664795
1544997150.1015568,1282,2.5824990272521973
1544997168.9262643,1288,2.369446277618408
1544997191.5611994,1295,2.4494285583496094
1544997260.97437,1317,2.438227653503418
1544997272.3044858,1320,2.399815797805786
1544997305.1571903,1331,2.4072351455688477
1544997316.3515491,1334,2.6119048595428467
1544997325.425248,1337,2.5637125968933105
1544997328.4418051,1338,2.5316338539123535
1544997470.1813943,1386,2.334012031555176
1544997488.7773304,1392,1.9968606233596802
1544997491.525843,1393,2.1235427856445312
1544997560.9515688,1415,2.241015672683716
1544997597.1172397,1427,2.2633912563323975
1544997628.4561114,1437,2.2585461139678955
1544997716.7852612,1467,2.151268720626831
1544997752.264139,1478,2.367684841156006
1544997777.4749446,1486,2.0558485984802246
1544997798.7848918,1492,2.3581862449645996
1544997908.6734984,1524,2.32360577583313
1544997921.852718,1528,2.3223326206207275
1544998000.4367425,1553,2.320277452468872
1544998050.0446396,1569,2.316295623779297
1544998053.0061488,1570,2.3803462982177734
1544998099.2630794,1585,2.244173526763916
1544998111.9628274,1589,2.167772054672241
1544998161.4901304,1605,1.943701982498169
1544998164.0125809,1606,2.0515904426574707
1544998259.5931668,1638,2.0573999881744385
1544998268.911322,1641,1.9173203706741333
1544998293.8068216,1649,1.8684484958648682
1544998354.0908017,1669,2.1428632736206055
1544998398.6546123,1683,1.9871751070022583
1544998426.4798613,1692,2.0735390186309814
1544998439.3012846,1696,2.0821850299835205
1544998445.9048457,1698,2.105661153793335
1544998451.6866624,1700,2.0276012420654297
1544998462.4055254,1703,2.0436863899230957
1544998485.119049,1710,2.1040992736816406
1544998510.44565,1719,2.0004165172576904
1544998556.2344222,1733,2.0809311866760254
1544998562.0159469,1735,2.0249691009521484
1544998571.9257472,1738,1.9739199876785278
1544998586.2145708,1743,2.0041050910949707
1544998594.9605904,1746,2.1628544330596924
1544998597.8773847,1747,2.155945301055908
1544998659.277333,1767,2.028853178024292
1544998686.9977376,1776,2.1967296600341797
1544998706.69923,1782,2.163661241531372
1544998732.24709,1790,2.079226016998291
1544998760.6029334,1799,2.0886056423187256
1544998782.4151917,1806,2.057539939880371
1544998848.4163692,1827,1.9129526615142822
1544998892.0409918,1841,1.859704852104187
1544998904.773948,1845,1.9059077501296997
1544998932.1700397,1854,1.744605302810669
1544998971.487808,1867,1.7939585447311401
1544998982.5605662,1870,1.8007919788360596
1544998999.3201432,1876,1.8272199630737305
1544999005.07163,1878,1.8132762908935547
1544999131.0660565,1918,2.0422468185424805
1544999181.2059765,1935,1.958514928817749
1544999212.5495148,1945,2.0431747436523438
1544999223.1568408,1948,1.8955943584442139
1544999288.0950725,1968,2.015373706817627
1544999333.1443672,1982,1.9751142263412476
1544999338.6273892,1984,1.8664542436599731
1544999403.7667396,2002,1.9060513973236084
1544999416.75644,2006,1.971920132637024
1544999443.5061147,2014,2.0143344402313232
1544999496.2345958,2031,2.066481113433838
1544999512.6730256,2037,2.0884673595428467
1544999589.8382118,2061,1.6836766004562378
1544999628.589055,2074,1.9598939418792725
1544999638.1773064,2077,1.5103260278701782
1544999641.2492156,2078,1.8558285236358643
1544999653.971958,2082,1.649944543838501
1544999666.7772574,2086,1.6714181900024414
1544999679.4055219,2090,1.622676968574524
1544999701.685375,2097,1.7283200025558472
1544999749.1501174,2112,1.6429505348205566
1544999852.095559,2146,1.7025235891342163
1544999865.0262547,2150,1.8057228326797485
1544999887.1197286,2157,1.877640724182129
1544999914.1923394,2166,1.7254079580307007
1544999983.6529536,2188,1.8209073543548584
1544999989.569199,2190,1.9500900506973267
1544999995.1008112,2192,1.728217601776123
1545000020.327358,2200,1.7507747411727905
1545000045.583941,2208,1.9630779027938843
1545000056.7566054,2212,1.8201797008514404
1545000121.3227875,2232,1.758355736732483
1545000136.1391957,2237,1.7444005012512207
1545000139.4220016,2238,1.9023622274398804
1545000146.5365775,2240,1.857892632484436
1545000155.7216177,2243,1.7682585716247559
1545000191.223449,2255,2.0191290378570557
1545000199.8725526,2258,1.822831153869629
1545000215.8154984,2263,1.7313807010650635
1545000273.1603754,2282,1.5815001726150513
1545000303.6765857,2292,1.611698031425476
1545000322.817925,2298,1.6436930894851685
1545000340.5219457,2304,1.630642056465149
1545000353.3670955,2308,1.5895047187805176
1545000390.7907853,2320,1.571210503578186
1545000469.7670977,2346,1.7062199115753174
1545000497.0371518,2355,1.6149747371673584
1545000608.9218655,2390,1.688295602798462
1545000612.7745934,2391,1.5296053886413574
1545000618.8020675,2393,1.5112557411193848
1545000750.8062072,2437,1.7846609354019165
1545000774.053506,2445,1.713263988494873
1545000801.4852846,2454,1.6726057529449463
1545000806.7080123,2456,1.7532367706298828
1545000821.9496596,2461,1.5973036289215088
1545000902.512162,2486,1.7632752656936646
1545000906.0835357,2487,1.7097015380859375
1545000934.2840788,2497,1.7092249393463135
1545000941.65356,2499,1.3983583450317383
1545000967.7894921,2504,1.4651230573654175
1545001007.9432309,2518,1.5340991020202637
1545001026.111486,2524,1.4262585639953613
1545001051.7687135,2533,1.4005247354507446
1545001098.7510035,2548,1.690212368965149
1545001110.2479203,2552,1.4101321697235107
1545001117.0225897,2554,1.43528151512146
1545001197.0426197,2579,1.546230673789978
1545001263.6034336,2601,1.3355528116226196
1545001284.046946,2607,1.5681043863296509
1545001336.9087021,2624,1.5510210990905762
1545001355.2461777,2630,1.3543189764022827
1545001435.308252,2656,1.5061445236206055
1545001511.9514852,2679,1.5859079360961914
1545001532.34217,2686,1.6135635375976562
1545001549.4384882,2691,1.7025312185287476
1545001589.0770173,2704,1.6443555355072021
1545001609.3333757,2711,1.6505602598190308
1545001656.166416,2726,1.317840337753296
1545001694.1540625,2738,1.2757765054702759
1545001703.8068068,2741,1.3596203327178955
1545001746.5259883,2755,1.4244754314422607
1545001857.4809387,2790,1.4100133180618286
1545001860.869116,2791,1.3750067949295044
1545001863.7128115,2792,1.2175743579864502
1545001965.8780487,2825,1.423627257347107
1545002110.8507836,2873,1.3454487323760986
1545002138.5522978,2882,1.458418846130371
1545002167.2130055,2891,1.313689112663269
1545002186.6507816,2897,1.4654566049575806
1545002251.405402,2918,1.4750540256500244
1545002259.6159177,2921,1.5529944896697998
1545002407.6950183,2968,1.408766269683838
1545002433.4994683,2976,1.449646234512329
1545002505.9420617,2999,1.246608853340149
1545002557.5316513,3012,1.2562435865402222
1545002609.6210618,3028,1.2389079332351685
1545002618.857719,3031,1.3708125352859497
1545002642.2624922,3039,1.1507761478424072
1545002652.0083075,3042,1.3072408437728882
1545002725.7112148,3066,1.4134725332260132
1545002737.7574375,3070,1.307946801185608
1545002743.9218857,3072,1.2534217834472656
1545002833.792586,3100,1.2721545696258545
1545002903.0921483,3123,1.3590328693389893
1545002947.8493028,3138,1.2395315170288086
1545003002.045726,3156,1.3551524877548218
1545003021.4192903,3162,1.2691785097122192
1545003070.9084215,3178,1.310607671737671
1545003130.3436253,3196,1.0498489141464233
1545003134.028161,3197,1.2691982984542847
1545003241.5433753,3231,1.2354604005813599
1545003270.8057213,3241,1.2245683670043945
1545003280.4745812,3244,1.2957179546356201
1545003283.1181002,3245,1.1837987899780273
1545003289.3986254,3247,1.195880651473999
1545003292.347858,3248,1.346812129020691
1545003369.745706,3273,1.303835153579712
1545003474.2718427,3306,1.273679494857788
1545003498.599665,3314,1.3021060228347778
1545003542.423734,3328,1.2435119152069092
1545003545.4573214,3329,1.3645775318145752
1545003598.0987432,3346,1.1866767406463623
1545003689.9121556,3377,1.214858055114746
1545003719.4543328,3387,1.2257024049758911
1545003771.389075,3404,1.332192063331604
1545003786.2488437,3409,1.125554084777832
1545003855.3291862,3431,1.1827317476272583
1545003878.6255987,3439,1.1484516859054565
1545003912.2928872,3450,1.2356384992599487
1545003918.1943727,3452,1.0446102619171143
1545003937.5898232,3459,1.2021279335021973
1545003955.6788273,3465,1.1765351295471191
1545003994.9266496,3478,1.1356995105743408
1545004004.9235582,3481,1.1770061254501343
